feature_index,feature_name
0,WT_A
1,WT_C
2,WT_D
3,WT_E
4,WT_F
5,WT_G
6,WT_H
7,WT_I
8,WT_K
9,WT_L
10,WT_M
11,WT_N
12,WT_P
13,WT_Q
14,WT_R
15,WT_S
16,WT_T
17,WT_V
18,WT_W
19,WT_Y
20,MT_A
21,MT_C
22,MT_D
23,MT_E
24,MT_F
25,MT_G
26,MT_H
27,MT_I
28,MT_K
29,MT_L
30,MT_M
31,MT_N
32,MT_P
33,MT_Q
34,MT_R
35,MT_S
36,MT_T
37,MT_V
38,MT_W
39,MT_Y
40,position
41,position_scaled
42,position_sin
43,position_cos
44,delta_hydrophobicity
45,delta_volume
46,delta_charge
47,BLOSUM62
48,temperature
49,pH
50,abs_delta_hydrophobicity
51,abs_delta_volume
52,abs_delta_charge
53,abs_BLOSUM62
54,position_scaled_x_delta_hydrophobicity
55,position_scaled_x_delta_charge
56,measurement_thermal_stability
57,chain_0
58,chain_1
59,chain_A
60,chain_B
61,chain_E
62,chain_H
63,chain_I
64,chain_L
65,chain_X
66,chain_unsigned
67,dataset_thermomut
68,structure_size
69,contact_density
70,mean_degree
71,mutation_degree
72,mutation_distance_to_center
